test_name task_name gold_standard_file coverage model model_configuration metric score_value
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.161985903219934
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.2103906008243
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 0.13183716062875805
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 0.162098476861637
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.162098476861637
models\model_complete\vectors_100_cosine_2_1 Clustering citiesAndCountries_cluster 0.9591307458415308 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.580665355034877
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine adjusted_rand_index -0.006390177640978
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine adjusted_mutual_info_score 0.005701148487208
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine homogeneity_score 0.046463155483237005
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine completeness_score 0.053661325348724
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine v_measure_score 0.049803494258288
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine normalized_mutual_info_score 0.049803494258288
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 DBSCAN metric=cosine clustering_accuracy 0.4852670349907921
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 0.277041846446463
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 0.253875198311752
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" homogeneity_score 0.281002076506838
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" completeness_score 0.231899836178133
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" v_measure_score 0.254100575162704
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 0.254100575162704
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 0.7364180478821359
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0.27632859457272
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.20437374798278896
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.2309742259626061
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 0.183646461942421
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 0.204609179596162
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 0.204609179596162
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0.735957642725598
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 0.228375961679972
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 0.248648160351363
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 0.257655416228082
models\model_complete\vectors_100_cosine_2_1 Clustering cities2000AndCountries_cluster 0.9445211786372008 "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 0.240702524492798
